,playerID,year,tmID,lgID,pos,GP,G,A,Pts,PIM,+/-,PPG,SHG,PostGP,PostG,PostA,PostPts,PostPIM,PostPPG,PostSHG,HOF,name
13794,gillicl01,1975,NYI,NHL,L,80.0,34.0,27.0,61.0,96.0,20.0,15.0,0.0,13.0,2.0,4.0,6.0,16.0,0.0,0.0,1.0,Clark Gillies
13795,gillicl01,1976,NYI,NHL,L,70.0,33.0,22.0,55.0,93.0,18.0,12.0,0.0,12.0,4.0,4.0,8.0,15.0,0.0,0.0,1.0,Clark Gillies
13796,gillicl01,1977,NYI,NHL,L,80.0,35.0,50.0,85.0,76.0,49.0,9.0,0.0,7.0,2.0,0.0,2.0,15.0,1.0,0.0,1.0,Clark Gillies
13797,gillicl01,1978,NYI,NHL,L,75.0,35.0,56.0,91.0,68.0,57.0,11.0,0.0,10.0,1.0,2.0,3.0,11.0,0.0,0.0,1.0,Clark Gillies
13798,gillicl01,1979,NYI,NHL,L,73.0,19.0,35.0,54.0,49.0,29.0,7.0,0.0,21.0,6.0,10.0,16.0,63.0,1.0,0.0,1.0,Clark Gillies
13799,gillicl01,1980,NYI,NHL,L,80.0,33.0,45.0,78.0,99.0,26.0,9.0,0.0,18.0,6.0,9.0,15.0,28.0,3.0,0.0,1.0,Clark Gillies
13800,gillicl01,1981,NYI,NHL,L,79.0,38.0,39.0,77.0,75.0,39.0,8.0,0.0,19.0,8.0,6.0,14.0,34.0,4.0,0.0,1.0,Clark Gillies
13801,gillicl01,1982,NYI,NHL,L,70.0,21.0,20.0,41.0,76.0,9.0,4.0,0.0,8.0,0.0,2.0,2.0,10.0,0.0,0.0,1.0,Clark Gillies
13802,gillicl01,1983,NYI,NHL,L,76.0,12.0,16.0,28.0,65.0,5.0,3.0,0.0,21.0,12.0,7.0,19.0,19.0,3.0,0.0,1.0,Clark Gillies
13803,gillicl01,1984,NYI,NHL,L,54.0,15.0,17.0,32.0,73.0,0.0,5.0,0.0,10.0,1.0,0.0,1.0,9.0,0.0,0.0,1.0,Clark Gillies
13804,gillicl01,1985,NYI,NHL,L,55.0,4.0,10.0,14.0,55.0,-8.0,1.0,0.0,3.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,Clark Gillies
13844,gillitr01,2009,NYI,NHL,L,14.0,0.0,1.0,1.0,75.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trevor Gillies
13845,gillitr01,2010,NYI,NHL,L,39.0,2.0,0.0,2.0,165.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trevor Gillies
13846,gillitr01,2011,NYI,NHL,L,3.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trevor Gillies
13987,giroura01,1999,NYI,NHL,D,14.0,0.0,9.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Raymond Giroux
13988,giroura01,2001,NYI,NHL,D,2.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Raymond Giroux
14081,godarer01,2002,NYI,NHL,R,19.0,0.0,0.0,0.0,48.0,-3.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,Eric Godard
14082,godarer01,2003,NYI,NHL,R,31.0,0.0,1.0,1.0,97.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eric Godard
14083,godarer01,2005,NYI,NHL,R,57.0,2.0,2.0,4.0,115.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eric Godard
14327,gorinbu01,1979,NYI,NHL,C,12.0,6.0,5.0,11.0,2.0,7.0,0.0,1.0,21.0,7.0,12.0,19.0,2.0,1.0,0.0,0.0,Butch Goring
14328,gorinbu01,1980,NYI,NHL,C,78.0,23.0,37.0,60.0,0.0,4.0,4.0,1.0,18.0,10.0,10.0,20.0,6.0,4.0,2.0,0.0,Butch Goring
14329,gorinbu01,1981,NYI,NHL,C,67.0,15.0,17.0,32.0,10.0,-3.0,1.0,5.0,19.0,6.0,5.0,11.0,12.0,1.0,0.0,0.0,Butch Goring
14330,gorinbu01,1982,NYI,NHL,C,75.0,19.0,20.0,39.0,8.0,10.0,2.0,5.0,20.0,4.0,8.0,12.0,4.0,0.0,0.0,0.0,Butch Goring
14331,gorinbu01,1983,NYI,NHL,C,71.0,22.0,24.0,46.0,8.0,9.0,0.0,5.0,21.0,1.0,5.0,6.0,2.0,1.0,0.0,0.0,Butch Goring
14332,gorinbu01,1984,NYI,NHL,C,29.0,2.0,5.0,7.0,2.0,-11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Butch Goring
14455,grabnmi01,2010,NYI,NHL,R,76.0,34.0,18.0,52.0,10.0,13.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Michael Grabner
14456,grabnmi01,2011,NYI,NHL,R,78.0,20.0,12.0,32.0,12.0,-18.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Michael Grabner
14695,grayge01,1972,NYI,NHL,G,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gerry Gray
14711,grebede01,2005,NYI,NHL,D,21.0,0.0,3.0,3.0,8.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Denis Grebeshkov
